
Draw_Date	Winning_Numbers	Powerball	Power_Play	Estimated_Jackpot	Jackpot_Winners	Jackpot_Option
04/20/2022	55 - 30 - 56 - 20 - 45	14	2	$370 Million	Roll	
04/18/2022	8 - 33 - 59 - 55 - 62	18	2	$348 Million	Roll	
04/16/2022	62 - 32 - 15 - 65 - 21	26	5	$325 Million	Roll	
04/13/2022	63 - 68 - 41 - 16 - 14	26	2	$302 Million	Roll	
04/11/2022	5 - 34 - 24 - 31 - 7	4	2	$288 Million	Roll	
04/09/2022	62 - 31 - 66 - 6 - 16	18	2	$268 Million	Roll	
04/06/2022	6 - 45 - 47 - 42 - 64	18	3	$246 Million	Roll	
04/04/2022	2 - 39 - 69 - 32 - 46	6	2	$231 Million	Roll	
04/02/2022	58 - 59 - 47 - 28 - 6	18	2	$222 Million	Roll	
03/30/2022	37 - 3 - 31 - 21 - 7	11	3	$206 Million	Roll	
03/28/2022	62 - 11 - 18 - 58 - 39	3	2	$195 Million	Roll	
03/26/2022	2 - 50 - 10 - 59 - 61	6	3	$181 Million	Roll	
03/23/2022	37 - 38 - 31 - 32 - 48	24	2	$167 Million	Roll	
03/21/2022	26 - 15 - 65 - 63 - 1	16	2	$156 Million	Roll	
03/19/2022	9 - 52 - 18 - 8 - 48	6	2	$147 Million	Roll	
03/16/2022	58 - 35 - 28 - 34 - 3	17	2	$133 Million	Roll	
03/14/2022	21 - 28 - 32 - 49 - 44	6	3	$124 Million	Roll	
03/12/2022	19 - 39 - 37 - 61 - 20	8	2	$112 Million	Roll	
03/09/2022	34 - 13 - 22 - 67 - 51	10	2	$99 Million	Roll	
03/07/2022	59 - 67 - 10 - 55 - 43	2	3	$90 Million	Roll	
03/05/2022	37 - 23 - 52 - 63 - 8	13	2	$85 Million	Roll	
03/02/2022	63 - 61 - 48 - 19 - 37	12	2	$73 Million	Roll	
02/28/2022	21 - 7 - 39 - 47 - 55	19	2	$65 Million	Roll	
02/26/2022	48 - 32 - 36 - 64 - 15	19	3	$58 Million	Roll	
02/23/2022	64 - 35 - 17 - 6 - 21	18	2	$45 Million	Roll	
02/21/2022	37 - 45 - 36 - 69 - 2	3	2	$37 Million	Roll	
02/19/2022	10 - 3 - 15 - 42 - 33	11	2	$31 Million	Roll	
02/16/2022	40 - 22 - 48 - 30 - 42	16	2	$20 Million	Roll	
02/14/2022	49 - 55 - 16 - 27 - 25	17	3	$183 Million	Out of State Winner	
02/12/2022	10 - 8 - 41 - 21 - 62	7	3	$172 Million	Roll	
02/09/2022	63 - 17 - 51 - 2 - 33	26	2	$158 Million	Roll	
02/07/2022	65 - 5 - 15 - 38 - 47	10	3	$147 Million	Roll	
02/05/2022	39 - 61 - 27 - 16 - 5	24	2	$137 Million	Roll	
02/02/2022	33 - 62 - 18 - 63 - 29	15	3	$123 Million	Roll	
01/31/2022	61 - 10 - 69 - 51 - 15	14	3	$113 Million	Roll	
01/29/2022	54 - 2 - 15 - 65 - 38	11	4	$104 Million	Roll	
01/26/2022	69 - 38 - 49 - 4 - 11	16	3	$91 Million	Roll	
01/24/2022	11 - 53 - 47 - 30 - 29	16	3	$82 Million	Roll	
01/22/2022	67 - 14 - 8 - 33 - 36	17	2	$76 Million	Roll	
01/19/2022	11 - 43 - 61 - 15 - 55	10	3	$62 Million	Roll	
01/17/2022	46 - 65 - 24 - 35 - 9	22	2	$53 Million	Roll	
01/15/2022	3 - 59 - 37 - 51 - 18	13	2	$48 Million	Roll	
01/12/2022	21 - 22 - 30 - 12 - 33	24	4	$38 Million	Roll	
01/10/2022	17 - 21 - 14 - 27 - 18	9	2	$27 Million	Roll	
01/08/2022	21 - 20 - 65 - 36 - 60	13	10	$20 Million	Roll	
01/05/2022	25 - 6 - 14 - 33 - 46	17	2	$630 Million	Out of State Winner	
01/03/2022	2 - 33 - 13 - 32 - 48	22	2	$540 Million	Roll	
01/01/2022	39 - 48 - 12 - 50 - 6	7	2	$500 Million	Roll	
12/29/2021	39 - 6 - 9 - 33 - 2	11	2	$441 Million	Roll	
12/27/2021	62 - 45 - 36 - 64 - 38	19	2	$416 Million	Roll	
12/25/2021	29 - 45 - 58 - 55 - 27	2	3	$400 Million	Roll	
12/22/2021	16 - 68 - 48 - 7 - 19	15	2	$378 Million	Roll	
12/20/2021	13 - 66 - 2 - 23 - 34	2	4	$363 Million	Roll	
12/18/2021	61 - 24 - 51 - 6 - 2	1	2	$353 Million	Roll	
12/15/2021	19 - 20 - 59 - 40 - 42	15	3	$333 Million	Roll	
12/13/2021	10 - 37 - 59 - 53 - 30	4	2	$320 Million	Roll	
12/11/2021	25 - 53 - 44 - 3 - 64	10	2	$307 Million	Roll	
12/08/2021	33 - 50 - 7 - 3 - 69	24	2	$291 Million	Roll	
12/06/2021	3 - 21 - 59 - 50 - 38	6	3	$280 Million	Roll	
12/04/2021	56 - 45 - 10 - 40 - 67	2	2	$278 Million	Roll	
12/01/2021	12 - 57 - 38 - 15 - 63	24	2	$264 Million	Roll	
11/29/2021	28 - 26 - 18 - 38 - 47	17	2	$253 Million	Roll	
11/27/2021	32 - 55 - 66 - 64 - 8	10	2	$243 Million	Roll	
11/24/2021	65 - 16 - 63 - 10 - 32	17	2	$224 Million	Roll	
11/22/2021	7 - 67 - 20 - 29 - 38	22	2	$213 Million	Roll	
11/20/2021	48 - 59 - 40 - 69 - 43	19	3	$205 Million	Roll	
11/17/2021	48 - 3 - 60 - 16 - 52	1	3	$190 Million	Roll	
11/15/2021	53 - 31 - 51 - 34 - 5	23	2	$180 Million	Roll	
11/13/2021	45 - 15 - 35 - 26 - 8	9	3	$173 Million	Roll	
11/10/2021	46 - 25 - 43 - 48 - 19	14	2	$160 Million	Roll	
11/08/2021	47 - 46 - 62 - 57 - 21	8	3	$151 Million	Roll	
11/06/2021	64 - 8 - 48 - 30 - 57	9	2	$146 Million	Roll	
11/03/2021	50 - 1 - 57 - 24 - 2	26	2	$132 Million	Roll	
11/01/2021	44 - 9 - 25 - 34 - 45	8	3	$123 Million	Roll	
10/30/2021	56 - 23 - 28 - 5 - 43	19	2	$116 Million	Roll	
10/27/2021	3 - 26 - 51 - 35 - 6	17	4	$102 Million	Roll	
10/25/2021	29 - 58 - 44 - 10 - 27	24	2	$93 Million	Roll	
10/23/2021	30 - 10 - 57 - 63 - 51	20	2	$86 Million	Roll	
10/20/2021	7 - 41 - 29 - 43 - 36	5	2	$73 Million	Roll	
10/18/2021	53 - 30 - 63 - 48 - 32	12	2	$65 Million	Roll	
10/16/2021	30 - 48 - 31 - 41 - 42	3	3	$60 Million	Roll	
10/13/2021	47 - 23 - 59 - 29 - 60	15	2	$50 Million	Roll	
10/11/2021	20 - 11 - 33 - 39 - 65	24	3	$38 Million	Roll	
10/09/2021	62 - 12 - 30 - 17 - 45	5	2	$31 Million	Roll	
10/06/2021	17 - 64 - 52 - 1 - 58	1	10	$20 Million	Roll	
10/04/2021	66 - 12 - 22 - 54 - 69	15	2	$685 Million	Out of State Winner	
10/02/2021	42 - 38 - 47 - 52 - 28	1	2	$635 Million	Roll	
09/29/2021	32 - 17 - 2 - 7 - 11	11	3	$570 Million	Roll	
09/27/2021	44 - 21 - 22 - 39 - 60	12	2	$545 Million	Roll	
09/25/2021	37 - 23 - 62 - 22 - 63	19	3	$523 Million	Roll	
09/22/2021	47 - 63 - 20 - 40 - 55	5	3	$490 Million	Roll	
09/20/2021	58 - 51 - 37 - 54 - 60	19	2	$472 Million	Roll	
09/18/2021	45 - 39 - 5 - 57 - 36	11	2	$457 Million	Roll	
09/15/2021	46 - 4 - 62 - 1 - 18	25	3	$432 Million	Roll	
09/13/2021	37 - 63 - 61 - 50 - 40	21	3	$416 Million	Roll	
09/11/2021	40 - 38 - 31 - 20 - 49	21	2	$409 Million	Roll	
09/08/2021	22 - 9 - 41 - 61 - 47	21	2	$388 Million	Roll	
09/06/2021	33 - 11 - 54 - 22 - 20	24	2	$375 Million	Roll	
09/04/2021	54 - 32 - 35 - 40 - 52	1	5	$367 Million	Roll	
09/01/2021	10 - 20 - 29 - 48 - 51	17	2	$345 Million	Roll	
08/30/2021	61 - 3 - 51 - 45 - 15	8	2	$332 Million	Roll	
08/28/2021	12 - 59 - 46 - 26 - 22	26	2	$322 Million	Roll	
08/25/2021	39 - 59 - 27 - 54 - 56	24	3	$304 Million	Roll	
08/23/2021	47 - 17 - 61 - 36 - 60	15	3	$293 Million	Roll	
08/21/2021	59 - 39 - 36 - 16 - 28	4	2	$290 Million	Roll	
08/18/2021	36 - 61 - 55 - 51 - 35	26	2	$274 Million	Roll	
08/14/2021	6 - 65 - 49 - 67 - 21	18	2	$258 Million	Roll	
08/11/2021	18 - 12 - 29 - 20 - 30	16	3	$241 Million	Roll	
08/07/2021	24 - 54 - 7 - 60 - 36	23	2	$226 Million	Roll	
08/04/2021	36 - 5 - 21 - 58 - 32	14	2	$211 Million	Roll	
07/31/2021	21 - 22 - 34 - 1 - 47	4	2	$199 Million	Roll	
07/28/2021	53 - 25 - 60 - 59 - 30	5	3	$186 Million	Roll	
07/24/2021	4 - 11 - 67 - 1 - 59	10	2	$174 Million	Roll	
